183.6,200.3,211.1,225.8,240.0,260.7,265.6,289.5,308.0,328.6,359.8,377.2
159.4,177.4,185.6,194.6,204.8,222.7,224.9,245.2,259.7,276.2,306.0,324.4
31.9,47.0,52.2,59.5,65.5,78.1,73.4,89.0,99.5,111.4,135.9,140.8
204.4,225.3,240.3,253.1,274.9,279.9,307.1,327.6,349.7,383.8,401.9,420.3
180.9,181.9,190.2,199.6,217.8,217.4,243.3,257.2,272.1,300.4,312.4,326.3
49.1,45.5,54.3,60.0,72.2,69.5,83.9,94.0,105.4,127.7,133.9,138.4
223.3,240.6,250.7,271.8,280.0,302.6,325.7,341.1,367.1,383.0,400.0,435.2
186.9,201.7,207.3,225.6,230.5,250.7,280.5,285.0,302.8,314.5,329.1,359.2
43.7,50.6,55.3,65.1,61.7,73.5,81.5,90.3,108.1,112.3,115.3,138.8
239.8,250.3,267.3,270.9,286.0,298.7,307.1,325.1,336.5,350.7,372.8,391.5
204.2,207.6,219.1,220.7,239.5,251.6,265.0,282.9,296.4,311.7,334.8,358.6
53.0,58.2,71.4,69.1,83.5,92.5,102.6,123.3,128.5,132.3,159.7,176.9
250.3,266.3,269.8,290.2,304.1,312.1,330.4,343.1,357.2,380.2,402.3,425.3
209.1,226.6,222.7,230.2,240.6,252.6,271.1,285.1,300.3,323.9,345.4,367.9
59.3,67.9,65.4,77.4,85.6,94.9,113.7,117.1,118.9,141.7,157.0,174.6
260.2,264.0,282.4,297.9,305.5,324.1,332.2,344.7,366.8,386.3,407.1,436.0
230.7,242.6,247.8,254.1,266.9,288.2,301.5,317.1,344.2,368.9,395.3,430.9
65.8,60.1,71.1,78.2,86.0,102.4,105.6,107.9,129.5,143.0,157.5,184.3
261,278,288,297,318,327,341,367,387,411,446,462
232,247,246,247,268,279,291,319,342,368,408,431
55,63,70,77,93,96,98,116,129,142,167,169
275,282,286,305,310,319,346,367,390,426,442,457
251,268,274,289,298,309,341,366,392,434,451,467
62,70,76,88,88,88,102,111,122,144,147,147
271,276,291,297,306,333,354,376,413,426,437,483
262,270,289,295,303,336,361,388,435,451,465,524
65,77,88,87,87,102,111,122,144,147,147,174
278,295,302,306,331,351,373,410,423,434,473,507
279,301,310,317,351,380,410,458,475,489,543,587
75,97,94,91,106,116,126,149,151,152,179,195
293,297,302,327,350,373,411,425,439,479,516,547
301,307,314,347,376,406,453,471,488,540,588,635
95,95,92,106,114,123,145,147,148,173,189,205
296,300,325,347,371,408,423,436,478,509,540,598
309,317,348,375,404,451,469,485,540,581,627,701
95,88,99,106,116,135,137,138,161,174,189,219
297,321,341,363,401,415,428,470,501,532,594,586
322,358,383,411,460,478,494,551,593,640,722,717
82,83,88,99,124,120,120,141,153,166,193,179
324,342,365,405,419,430,475,505,536,591,581,654
364,394,422,474,494,510,574,620,671,759,754,865
85,90,96,111,112,112,131,142,153,178,166,192
354,388,404,410,454,481,508,562,541,596,624,670
413,475,494,503,570,616,669,765,743,847,916,999
98,119,119,118,138,163,181,212,192,225,239,258
